title,year,infobox
The Actress,1953,"{'Directed by': ['George Cukor', '', ''], 'Screenplay by': ['Ruth Gordon', '', ''], 'Based on': ['1946 play', 'by ', 'Ruth Gordon', '', ''], 'Produced by': ['Lawrence Weingarten', '', ''], 'Starring': ['Spencer Tracy', 'Jean Simmons', 'Teresa Wright', '', ''], 'Cinematography': ['Harold Rosson', '', ''], 'Edited by': ['George Boemler', '', ''], 'Music by': ['Bronisław Kaper', '', ''], 'Production company': ['', 'Metro-Goldwyn-Mayer'], 'Distributed by': [""Loew's Inc."", '', ''], 'Release date': ['September\xa025,\xa01953', '\n \n', ''], 'Running time': ['90 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$1,424,000', '', ''], 'Box office': ['$914,000', '', '']}"
Albert R.N.,1953,"{'Directed by': ['Lewis Gilbert', '', ''], 'Written by': ['Vernon Harris', 'Guy Morgan', '', ''], 'Based on': ['play by Guy Morgan and Edward Sammis', '', ''], 'Produced by': ['Daniel M. Angel', '', ''], 'Starring': ['Jack Warner', 'Anthony Steel', 'Robert Beatty', '', ''], 'Cinematography': ['Jack Asher', '', ''], 'Edited by': ['Charles Hasse', '', ''], 'Music by': ['Malcolm Arnold', '', ''], 'Production company': ['Angel Productions', ''], 'Distributed by': ['Eros Films', '', ''], 'Release date': ['23 November 1953', '', ''], 'Running time': ['88 minutes', '', ''], 'Country': ['United Kingdom', '', ''], 'Language': ['English', '', ''], 'Budget': ['£80,000', '', '']}"
All American,1953,"{'Directed by': ['Jesse Hibbs', '', ''], 'Written by': ['Robert Libott', '(adaptation)', '', ''], 'Screenplay by': ['D.D. Beauchamp', '', ''], 'Story by': ['Leonard Freeman', '', ''], 'Produced by': ['Aaron Rosenberg', '', ''], 'Starring': ['Tony Curtis', 'Lori Nelson', '', ''], 'Cinematography': ['Maury Gertsman', '', ''], 'Edited by': ['Edward Curtiss', '', ''], 'Production company': ['Universal International Pictures', ''], 'Distributed by': ['Universal Pictures', '', ''], 'Release date': ['October\xa01953', '\n \n', ''], 'Running time': ['83 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}"
All I Desire,1953,"{'Directed by': ['Douglas Sirk', '', ''], 'Written by': ['(adaptation)', 'Gina Kaus', '', ''], 'Screenplay by': ['James Gunn', 'Robert Blees', '', ''], 'Based on': [' (novel)', 'Carol Ryrie Brink', '', ''], 'Produced by': ['Ross Hunter', '', ''], 'Starring': ['Barbara Stanwyck', 'Richard Carlson', 'Lyle Bettger', 'Marcia Henderson', 'Lori Nelson', ""Maureen O'Sullivan"", '', ''], 'Cinematography': ['Carl E. Guthrie', '', ''], 'Edited by': ['Milton Carruth', '', ''], 'Color process': ['Black and white', '', ''], 'Production company': ['Universal International Pictures', ''], 'Distributed by': ['Universal Pictures', '', ''], 'Release dates': ['June\xa025,\xa01953', ' (Nashville, Tennessee)', 'July\xa03,\xa01953', ' (Los Angeles)', '\n \n', ''], 'Running time': ['80 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$460,000', '', ''], 'Box office': ['$1.2 million (US)', ' or over $2 million', '', '']}"
All the Brothers Were Valiant,1953,"{'Directed by': ['Richard Thorpe', '', ''], 'Written by': ['Harry Brown', '', ''], 'Based on': ['1919 novel', 'by ', 'Ben Ames Williams', '', ''], 'Produced by': ['Pandro S. Berman', '', ''], 'Starring': ['Robert Taylor', 'Stewart Granger', 'Ann Blyth', 'Betta St. John', 'Keenan Wynn', 'James Whitmore', '', ''], 'Cinematography': ['George J. Folsey', '', ''], 'Edited by': ['Ferris Webster', '', ''], 'Music by': ['Miklós Rózsa', '', ''], 'Production company': ['', 'Metro-Goldwyn-Mayer'], 'Distributed by': [""Loew's Inc."", '', ''], 'Release date': ['13\xa0November\xa01953', '\n \n', ''], 'Running time': ['95 minutes', '101 minutes (US)', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$1,816,000', '', ''], 'Box office': ['$4,628,000', '', '']}"
Anarkali,1953,"{'Directed by': ['Nandlal Jaswantlal', '', ''], 'Written by': ['Hameed Butt (Dialogue Director)', 'Ramesh Saigal', '', ''], 'Screenplay by': ['Ramesh Saigal', '', ''], 'Story by': ['Nasir Hussain', '', ''], 'Based on': ['Anārkalī', 'by ', 'Imtiaz Ali Taj', '', ''], 'Produced by': ['Filmistan Ltd.', '', ''], 'Starring': ['Mubarak', 'Pradeep Kumar', 'Bina Rai', 'Kuldip Kaur', '', ''], 'Cinematography': ['Marshall Braganza', '', ''], 'Edited by': ['Babu Lavande', '', ''], 'Music by': ['Vasant Prakash', 'C. Ramchandra', '', ''], 'Production company': ['', 'Filmistan Ltd.'], 'Distributed by': ['Filmistan Ltd.', '', ''], 'Release date': ['2\xa0January\xa01953', '', ''], 'Running time': ['148 mins', '', ''], 'Country': ['India', '', ''], 'Languages': [' ', ' ', 'Hindi', 'Urdu', '', ''], 'Box office': ['', '']}"
Appointment in Honduras,1953,"{'Directed by': ['Jacques Tourneur', '', ''], 'Written by': ['Mario Silvera', 'Jack Cornall', 'Karen DeWolf', '', ''], 'Produced by': ['Benedict Bogeaus', '', ''], 'Starring': ['Glenn Ford', 'Ann Sheridan', 'Zachary Scott', '', ''], 'Distributed by': ['RKO', '', ''], 'Release date': ['October\xa016,\xa01953', ' (', ')', '\n \n', ''], 'Running time': ['77 min', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}"
Arrowhead,1953,"{'Directed by': ['Charles Marquis Warren', '', ''], 'Screenplay by': ['Charles Marquis Warren', '', ''], 'Based on': ['1953 novel', 'by ', 'W.R.Burnett', '', ''], 'Produced by': ['Nat Holt', '', ''], 'Starring': ['Charlton Heston', 'Jack Palance', 'Katy Jurado', 'Brian Keith', 'Milburn Stone', '', ''], 'Cinematography': ['Ray Rennahan', '', ''], 'Edited by': ['Frank Bracht', '', ''], 'Music by': ['Paul Sawtell', '', ''], 'Distributed by': ['Paramount Pictures', '', ''], 'Release date': ['August\xa03,\xa01953', '\n \n', ''], 'Running time': ['105 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Box office': ['$1.2 million (US)', '', '']}"
Baaz,1953,"{'Directed by': ['Guru Dutt', '', ''], 'Written by': ['Guru Dutt', ', ', 'Lalchand Bismil', 'Sarshar Sailani', '', ''], 'Produced by': ['Haridarshan', '', ''], 'Starring': ['Geeta Bali', 'Guru Dutt', 'K. N. Singh', 'Johnny Walker', '', ''], 'Cinematography': ['V. K. Murthy', '', ''], 'Edited by': ['Y.G. Chawhan', '', ''], 'Music by': ['O. P. Nayyar', '', ''], 'Release date': ['1953', '\n \n', ''], 'Running time': ['150 minutes', '', ''], 'Country': ['India', '', ''], 'Language': ['Hindi', '', '']}"
The Band Wagon,1953,"{'Directed by': ['Vincente Minnelli', '', ''], 'Written by': ['Betty Comden', 'Adolph Green', '', ''], 'Produced by': ['Arthur Freed', '', ''], 'Starring': ['Fred Astaire', 'Cyd Charisse', 'Oscar Levant', 'Nanette Fabray', 'Jack Buchanan', 'James Mitchell', '', ''], 'Cinematography': ['Harry Jackson', '', ''], 'Edited by': ['Albert Akst', '', ''], 'Music by': ['Howard Dietz', 'Arthur Schwartz', '', ''], 'Production company': ['', 'Metro-Goldwyn-Mayer'], 'Distributed by': [""Loew's, Inc"", '', ''], 'Release date': ['August\xa07,\xa01953', ' (United States)', '\n \n', ''], 'Running time': ['111 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$2.9 million', '', ''], 'Box office': ['$3.5 million', '', '']}"
O Cangaceiro,1953,"{'Directed by': ['Lima Barreto', '', ''], 'Written by': ['Lima Barreto', 'Rachel de Queiroz', '', ''], 'Produced by': ['Cid Leite da Silva', 'Alberto Cavalcanti', '', ''], 'Starring': ['Alberto Ruschel', '', ''], 'Cinematography': ['H.E. Fowle', '', ''], 'Edited by': ['Giuseppe Baldacconi', ' (montage)', 'Oswald Hafenrichter', '', ''], 'Music by': ['Gabriel Migliori', '', ''], 'Production company': ['', 'Vera Cruz'], 'Distributed by': ['Columbia Pictures', '', ''], 'Release date': ['January\xa020,\xa01953', '\n \n', ''], 'Running time': ['105 minutes', '', ''], 'Country': ['Brazil', '', ''], 'Language': ['Portuguese', '', ''], 'Box office': ['30\xa0million (US$1.5 million)', '₢$', '', '']}"
Barabbas,1953,"{'Directed by': ['Alf Sjöberg', '', ''], 'Written by': ['Pär Lagerkvist', 'Alf Sjöberg', '', ''], 'Produced by': ['Rune Waldekranz', '', ''], 'Starring': ['Ulf Palme', '', ''], 'Cinematography': ['Sven Nykvist', 'Göran Strindberg', '', ''], 'Edited by': ['Eric Nordemar', '', ''], 'Distributed by': ['Sandrews', '', ''], 'Release date': ['5\xa0May\xa01953', '\n \n', ''], 'Running time': ['119 minutes', '', ''], 'Country': ['Sweden', '', ''], 'Language': ['Swedish', '', '']}"
"The Beast from 20,000 Fathoms",1953,"{'Directed by': ['Eugène Lourié', '', ''], 'Screenplay by': ['Louis Morheim', 'Robert Smith', 'Fred Freiberger', 'Eugène Lourié', '', ''], 'Based on': ['1951 story in ', 'by ', 'Ray Bradbury', '', ''], 'Produced by': ['Jack Dietz', 'Hal E. Chester', '', ''], 'Starring': ['Paul Christian', 'Paula Raymond', 'Cecil Kellaway', 'Kenneth Tobey', '', ''], 'Narrated by': ['William Woodson', '', ''], 'Cinematography': ['John L. Russell', '', ''], 'Edited by': ['Bernard W. Burton', '', ''], 'Music by': ['David Buttolph', '', ''], 'Production company': ['Jack Dietz Productions', ''], 'Distributed by': ['Warner Bros.', '', ''], 'Release date': ['June\xa013,\xa01953', '\n \n', ''], 'Running time': ['80 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$200,000', '', ''], 'Box office': ['$5 million', '', '']}"
Beat the Devil,1953,"{'Directed by': ['John Huston', '', ''], 'Screenplay by': ['John Huston', 'Truman Capote', '', ''], 'Based on': ['by ', 'James Helvick', '', ''], 'Produced by': ['John Huston', '', ''], 'Starring': ['Humphrey Bogart', 'Jennifer Jones', 'Gina Lollobrigida', '', ''], 'Cinematography': ['Oswald Morris', '', ''], 'Edited by': ['Ralph Kemplen', '', ''], 'Music by': ['Franco Mannino', '', ''], 'Production companies': ['', 'Romulus Films Santana Pictures Corporation'], 'Distributed by': ['(United Kingdom)', '(United States)', 'British Lion Films', 'United Artists', '', ''], 'Release dates': ['24\xa0November\xa01953', ' (London)', 'March\xa012,\xa01954', ' (New York City)', '\n \n \n \n', ''], 'Running time': ['94 minutes', '', ''], 'Countries': ['United States', 'Great Britain', 'Italy', '', ''], 'Language': ['English', '', ''], 'Box office': ['£115,926 (UK)', '', '']}"
The Beggar's Opera,1953,"{'Directed by': ['Peter Brook', '', ''], 'Written by': ['Christopher Fry', 'Denis Cannan', '\n \n', ''], 'Based on': [' by ', 'John Gay', '', ''], 'Produced by': ['Laurence Olivier', 'Herbert Wilcox', '\n \n', ''], 'Starring': ['Laurence Olivier', 'Hugh Griffith', 'Dorothy Tutin', 'Stanley Holloway', 'Daphne Anderson', 'Athene Seyler', '\n \n', ''], 'Cinematography': ['Guy Green', '', ''], 'Edited by': ['Reginald Beck', '', ''], 'Music by': ['Christopher Fry', 'Arthur Bliss', '\n \n', ''], 'Distributed by': ['British Lion Films', 'Warner Bros.', '', ''], 'Release dates': ['9\xa0June\xa01953', ' (London)', '5\xa0October\xa01953', '\n \n', ''], 'Running time': ['94 minutes', '', ''], 'Country': ['United Kingdom', '', ''], 'Language': ['English', '', ''], 'Budget': ['£500,000', '', '']}"
Belinsky,1953,"{'Directed by': ['Grigori Kozintsev', '', ''], 'Written by': ['Grigori Kozintsev', 'Yury German', '', ''], 'Starring': ['Sergei Kurilov', 'Aleksandr Borisov', 'Georgy Vitsin', 'Yuri Lyubimov', 'Yuri Tolubeyev', 'Mikhail Nazvanov', '', ''], 'Cinematography': ['Andrei Moskvin', 'Sergei Ivanov', 'Mark Magidson', '', ''], 'Music by': ['Dmitri Shostakovich', '', ''], 'Production company': ['', 'Lenfilm'], 'Release date': ['4 June 1953', '', ''], 'Running time': ['102 minutes', '', ''], 'Country': ['Soviet Union', '', ''], 'Language': ['Russian', '', '']}"
Ben and Me,1953,"{'Directed by': ['Hamilton Luske', '', ''], 'Story by': [' (novel)', ' ', ' (screen story) ', ' ', 'Del Connell', ' (adaptation)', 'Robert Lawson', 'Bill Peet', 'Winston Hibler', 'Ted Sears', '', ''], 'Produced by': ['Walt Disney', '', ''], 'Starring': [' ', ' ', ' ', ' ', ' ', 'Sterling Holloway', 'Charlie Ruggles', 'Stan Freberg', 'Hans Conried', 'Bill Thompson', 'Jimmy MacDonald', '', ''], 'Narrated by': ['Sterling Holloway', '', ''], 'Music by': ['Oliver Wallace', '', ''], 'Animation by': ['Cliff Nordberg', 'Marvin Woodward', 'Hugh Fraser', 'Eric Cleworth', 'Hal King', ' ', 'Harvey Toombs', 'Jerry Hathcook', 'George Rowley (effects)', 'Wolfgang Reitherman', 'John Lounsbery', 'Ollie Johnston', 'Les Clark', 'Don Lusk', '', ''], 'Layouts by': ['Al Zinnem', 'Hugh Hennesy', 'Thor Putnam', '', ''], 'Backgrounds by': ['Al Dempster', 'Thelma Witmer', 'Dick Anthony', '', ''], 'Production company': ['', 'Walt Disney Productions'], 'Distributed by': ['Buena Vista Film Distribution', '', ''], 'Release date': ['November\xa010,\xa01953', '', ''], 'Running time': ['21 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}"
Beneath the 12-Mile Reef,1953,"{'Directed by': ['Robert D. Webb', '', ''], 'Written by': ['A.I. Bezzerides', '', ''], 'Produced by': ['Robert Bassler', '', ''], 'Starring': ['Robert Wagner', 'Terry Moore', 'Gilbert Roland', 'Richard Boone', 'Peter Graves', '', ''], 'Cinematography': ['Edward Cronjager', '', ''], 'Edited by': ['William Reynolds', '', ''], 'Music by': ['Bernard Herrmann', '', ''], 'Distributed by': ['20th Century Fox', '', ''], 'Release date': ['December\xa02,\xa01953', '\n \n', ''], 'Running time': ['102 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$1.56 million', '', ''], 'Box office': ['$3.6 million (US rentals);', ' $3.5 million (foreign rentals) ', '', '']}"
Welcome Mr. Marshall!,1953,"{'Directed by': ['Luis García Berlanga', '', ''], 'Written by': ['Luis García Berlanga', 'Juan Antonio Bardem', 'Miguel Mihura', '', ''], 'Produced by': ['Vicente Sempere', '', ''], 'Starring': ['Lolita Sevilla', 'José Isbert', 'Manolo Morán', '', ''], 'Cinematography': ['Manuel Berenguer', '', ''], 'Edited by': ['Pepita Orduna', '', ''], 'Music by': ['Jesús García Leoz', '', ''], 'Release date': ['4\xa0April\xa01953', '\n \n', ''], 'Running time': ['95 minutes', '', ''], 'Country': ['Spain', '', ''], 'Language': ['Spanish', '', '']}"
The Big Heat,1953,"{'Directed by': ['Fritz Lang', '', ''], 'Screenplay by': ['Sydney Boehm', '', ''], 'Based on': ['the ', ' serial and 1953 novel', 'by ', 'William P. McGivern', '', ''], 'Produced by': ['Robert Arthur', '', ''], 'Starring': ['Glenn Ford', 'Gloria Grahame', 'Jocelyn Brando', '', ''], 'Cinematography': ['Charles Lang', '', ''], 'Edited by': ['Charles Nelson', '', ''], 'Color process': ['Black and white', '', ''], 'Production company': ['Columbia Pictures', ''], 'Distributed by': ['Columbia Pictures', '', ''], 'Release date': ['October\xa014,\xa01953', ' (New York City)', '\n \n', ''], 'Running time': ['90 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Box office': ['$1.25 million (US)', '', '']}"
Big Leaguer,1953,"{'Directed by': ['Robert Aldrich', '', ''], 'Screenplay by': ['Herbert Baker', '', ''], 'Based on': ['a story by', 'Lou Morheim', 'John McNulty', '', ''], 'Produced by': ['Matthew Rapf', '', ''], 'Starring': ['Edward G. Robinson', 'Vera-Ellen', 'Jeff Richards', 'Richard Jaeckel', 'William Campbell', '', ''], 'Cinematography': ['William C. Mellor', '', ''], 'Edited by': ['Ben Lewis', '', ''], 'Music by': ['Alberto Colombo', '', ''], 'Production company': ['', 'Metro-Goldwyn-Mayer'], 'Distributed by': [""Loew's, Inc."", '', ''], 'Release date': ['August\xa019,\xa01953', '\n \n', ''], 'Running time': ['71 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$498,000', '', ''], 'Box office': ['$559,000', '', '']}"
The Bigamist,1953,"{'Directed by': ['Ida Lupino', '', ''], 'Screenplay by': ['Collier Young', '', ''], 'Story by': ['(as Larry Marcus)', 'Lou Schor', 'Lawrence B. Marcus', '', ''], 'Produced by': ['Robert Eggenweiler', 'Collier Young', '', ''], 'Starring': ['Ida Lupino', 'Joan Fontaine', ""Edmond O'Brien"", 'Edmund Gwenn', '', ''], 'Cinematography': ['George E. Diskant', '', ''], 'Edited by': ['Stanford Tischler', '', ''], 'Music by': ['Leith Stevens', '', ''], 'Production company': ['The Filmakers', ''], 'Distributed by': ['Filmakers Releasing Organization', '', ''], 'Release date': ['December\xa03,\xa01953', ' (United States)', '\n \n', ''], 'Running time': ['80 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}"
Black Ermine,1953,"{'Directed by': ['Carlos Hugo Christensen', '', ''], 'Written by': ['Rafael Maluenda', 'Pedro Juan Vignalle', '', ''], 'Starring': [' ', ' ', 'Laura Hidalgo', 'Roberto Escalada', '', ''], 'Cinematography': ['Ricardo Younis', '', ''], 'Edited by': ['Jorge Gárate', '', ''], 'Music by': ['Julián Bautista', '', ''], 'Production company': ['', 'Argentina Sono Film'], 'Release date': ['27 August 1953', '', ''], 'Running time': ['104 minutes', '', ''], 'Country': ['Argentina', '', ''], 'Language': ['Spanish', '', '']}"
Blowing Wild,1953,"{'Directed by': ['Hugo Fregonese', '', ''], 'Written by': ['Philip Yordan', '', ''], 'Produced by': ['Milton Sperling', '', ''], 'Starring': ['Gary Cooper', 'Barbara Stanwyck', 'Ruth Roman', 'Anthony Quinn', '', ''], 'Cinematography': ['Sidney Hickox', '', ''], 'Edited by': ['Alan Crosland Jr.', '', ''], 'Music by': ['Dimitri Tiomkin', '', ''], 'Color process': ['Black and white', '', ''], 'Production company': ['', 'United States Pictures'], 'Distributed by': ['Warner Bros.', '', ''], 'Release dates': ['September\xa016,\xa01953', ' (San Antonio, Texas)', 'October\xa07,\xa01953', ' (New York City)', '\n \n', ''], 'Running time': ['89 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Box office': ['$2 million (US)', '', '']}"
The Blue Gardenia,1953,"{'Directed by': ['Fritz Lang', '', ''], 'Screenplay by': ['Charles Hoffman', '', ''], 'Based on': ['by ', 'Vera Caspary', '', ''], 'Produced by': ['Alex Gottlieb', '', ''], 'Starring': ['Anne Baxter', 'Richard Conte', 'Ann Sothern', 'Raymond Burr', 'Jeff Donnell', 'Richard Erdman', 'George Reeves', 'Nat King Cole', '', ''], 'Cinematography': ['Nicholas Musuraca', '', ''], 'Edited by': ['Edward Mann', '', ''], 'Music by': ['Raoul Kraushaar', '', ''], 'Production company': ['Blue Gardenia Productions', ''], 'Distributed by': ['Warner Bros.', '', ''], 'Release dates': ['March\xa027,\xa01953', ' (Los Angeles)', 'March\xa028,\xa01953', ' (United States)', '\n \n', ''], 'Running time': ['88 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}"
A Blueprint for Murder,1953,"{'Directed by': ['(as Andrew Stone)', 'Andrew L. Stone', '', ''], 'Screenplay by': ['(as Andrew Stone)', 'Andrew L. Stone', '', ''], 'Produced by': ['Michael Abel', '', ''], 'Starring': ['Joseph Cotten', 'Jean Peters', 'Gary Merrill', '', ''], 'Cinematography': ['Leo Tover', '', ''], 'Edited by': ['William B. Murphy', '', ''], 'Color process': ['Black and white', '', ''], 'Production company': ['20th Century Fox', ''], 'Distributed by': ['20th Century Fox', '', ''], 'Release date': ['September\xa01953', '\n \n', ''], 'Running time': ['76 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}"
"Bread, Love and Dreams",1953,"{'Directed by': ['Luigi Comencini', '', ''], 'Written by': ['Luigi Comencini', 'Ettore Margadonna', '', ''], 'Produced by': ['Marcello Girosi', '', ''], 'Starring': ['Vittorio De Sica', 'Gina Lollobrigida', '', ''], 'Cinematography': ['Arturo Gallea', '', ''], 'Edited by': ['Mario Serandrei', '', ''], 'Music by': ['Alessandro Cicognini', '', ''], 'Distributed by': [' (Italy)', ' (USA)', 'Titanus', 'I.F.E. Releasing Corporation', '', ''], 'Release date': ['22 December 1953', '', ''], 'Running time': ['90 minutes', '', ''], 'Country': ['Italy', '', ''], 'Language': ['Italian', '', '']}"
Bright Road,1953,"{'Directed by': ['Gerald Mayer', '', ''], 'Screenplay by': ['Emmet Lavery', '', ''], 'Based on': ['""See How They Run""', '1951 short story ', 'by ', 'Mary Elizabeth Vroman', '', ''], 'Starring': ['Philip Hepburn', 'Dorothy Dandridge', 'Harry Belafonte', 'Barbara Ann Sanders', '', ''], 'Cinematography': ['Alfred Gilks', '', ''], 'Edited by': ['Joseph Dervin', '', ''], 'Music by': ['David Rose', '', ''], 'Distributed by': ['Metro-Goldwyn-Mayer', '', ''], 'Release date': ['April\xa017,\xa01953', '\n \n', ''], 'Running time': ['69 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$377,000', '', ''], 'Box office': ['$252,000', '', '']}"
El Bruto,1953,"{'Directed by': ['Luis Buñuel', '', ''], 'Written by': [', ', 'Luis Alcoriza', 'Luis Buñuel', '', ''], 'Produced by': [', ', ', ', 'Gabriel Castro', 'Óscar Dancigers', 'Sergio Kogan', '', ''], 'Starring': ['Pedro Armendáriz', '', ''], 'Cinematography': ['Agustín Jiménez', '', ''], 'Edited by': ['Jorge Bustos', '', ''], 'Music by': ['Raúl Lavista', '', ''], 'Release date': ['February\xa05,\xa01953', '', ''], 'Running time': ['81 minutes', '', ''], 'Country': ['Mexico', '', ''], 'Language': ['Spanish', '', '']}"
By the Light of the Silvery Moon,1953,"{'Directed by': ['David Butler', '', ''], 'Written by': [' (Penrod stories)', 'Booth Tarkington', '', ''], 'Screenplay by': ['Irving Elinson', ""Robert O'Brien"", '', ''], 'Produced by': ['William Jacobs', '', ''], 'Starring': ['Doris Day', 'Gordon MacRae', 'Leon Ames', '', ''], 'Cinematography': [' (as Wilfrid M. Cline)', 'Wilfred M. Cline', '', ''], 'Edited by': ['Irene Morra', '', ''], 'Music by': [' (', ')', ' (music adapted by)', 'Gus Edwards', 'By the Light of the Silvery Moon', 'Max Steiner', '', ''], 'Distributed by': ['Warner Brothers', '', ''], 'Release date': ['March\xa026,\xa01953', '\n \n', ''], 'Running time': ['101 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Box office': ['$2,125,000 (US)', '', '']}"
The Caddy,1953,"{'Directed by': ['Norman Taurog', '', ''], 'Screenplay by': ['Danny Arnold', 'Edmund Hartmann', '', ''], 'Produced by': ['Paul Jones', '', ''], 'Starring': ['Dean Martin', 'Jerry Lewis', 'Donna Reed', 'Barbara Bates', '', ''], 'Cinematography': ['Daniel L. Fapp', '', ''], 'Edited by': ['Warren Low', '', ''], 'Music by': ['Joseph J. Lilley', '', ''], 'Production company': ['York Pictures Corporation', ''], 'Distributed by': ['Paramount Pictures', '', ''], 'Release date': ['August\xa010,\xa01953', '\n \n', ''], 'Running time': ['95 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$1,864,112', '', ''], 'Box office': ['$3.5 million (US)', '1,008,197 admissions (France)', '', '']}"
Calamity Jane,1953,"{'Directed by': ['David Butler', '', ''], 'Written by': [""James O'Hanlon"", '', ''], 'Produced by': ['William Jacobs', '', ''], 'Starring': ['Doris Day', 'Howard Keel', 'Allyn Ann McLerie', '', ''], 'Cinematography': ['Wilfrid M. Cline', '', ''], 'Edited by': ['Irene Morra', '', ''], 'Music by': ['Ray Heindorf', '', ''], 'Distributed by': ['Warner Bros.', '', ''], 'Release date': ['November 4, 1953', '', ''], 'Running time': ['101 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}"
Call Me Madam,1953,"{'Directed by': ['Walter Lang', '', ''], 'Screenplay by': ['Arthur Sheekman', '', ''], 'Based on': ['1950 musical', 'by ', 'Howard Lindsay', 'Russel Crouse', '', ''], 'Produced by': ['Sol C. Siegel', '', ''], 'Starring': ['Ethel Merman', ""Donald O'Connor"", 'Vera-Ellen', 'George Sanders', '', ''], 'Cinematography': ['Leon Shamroy', '', ''], 'Edited by': ['Robert L. Simpson', '', ''], 'Music by': [' (music and lyrics)', '  (music score)', 'Irving Berlin', 'Alfred Newman', '', ''], 'Distributed by': ['20th Century Fox', '', ''], 'Release date': ['March\xa04,\xa01953', ' (Los Angeles)', '\n \n', ''], 'Running time': ['114 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$2.46 million', '', ''], 'Box office': ['$2.85 million (US rental)', '', '']}"
The Captain's Paradise,1953,"{'Directed by': ['Anthony Kimmins', '', ''], 'Written by': ['Alec Coppel', 'Nicholas Phipps', '', ''], 'Based on': ['story by Alec Coppel', '', ''], 'Produced by': ['Anthony Kimmins', '', ''], 'Starring': ['Alec Guinness', 'Celia Johnson', 'Yvonne De Carlo', '', ''], 'Cinematography': ['Edward Scaife', '', ''], 'Edited by': ['Gerald Turney-Smith', '', ''], 'Music by': ['Malcolm Arnold', '', ''], 'Production company': ['', 'London Films'], 'Distributed by': ['British Lion Films', '', ''], 'Release date': ['9 June 1953', '', ''], 'Running time': ['93 minutes', '', ''], 'Country': ['United Kingdom', '', ''], 'Languages': ['English', 'Spanish', '', ''], 'Box office': ['£146,548 (UK)', '$1,000,000 (est.) (US/Canada)', '', '']}"
Cease Fire,1953,"{'Directed by': ['Owen Crump', '', ''], 'Written by': ['Walter Doniger', '', ''], 'Story by': ['Owen Crump', '', ''], 'Produced by': ['Hal Wallis', '', ''], 'Starring': ['Capt Roy Thompson Jr', '', ''], 'Cinematography': ['Ellis W. Carter', '', ''], 'Edited by': ['John Woodcock', '', ''], 'Music by': ['Dimitri Tiomkin', '', ''], 'Distributed by': ['Paramount Pictures', '', ''], 'Release date': ['November 24, 1953', '\n \n', ''], 'Running time': ['75 minutes', '', ''], 'Country': ['United States', '', '']}"
The Charge at Feather River,1953,"{'Directed by': ['Gordon Douglas', '', ''], 'Written by': ['James R. Webb', '', ''], 'Produced by': ['David Weisbart', '', ''], 'Starring': ['Guy Madison', 'Frank Lovejoy', 'Helen Westcott', 'Vera Miles', 'Dick Wesson', 'Onslow Stevens', 'Steve Brodie', 'James Brown', '', ''], 'Cinematography': ['J. Peverell Marley', '', ''], 'Edited by': ['Folmar Blangsted', '', ''], 'Music by': ['Max Steiner', '', ''], 'Distributed by': ['Warner Bros.', '', ''], 'Release dates': ['June\xa030,\xa01953', ' (Vernon, Texas)', 'July\xa011,\xa01953', ' (United States)', '\n \n', ''], 'Running time': ['95 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Box office': ['$3.65 million (US)', '', '']}"
